Unnamed: 0,month_date_yyyymm,county_name,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,price_increased_count,price_reduced_count,median_listing_price_per_square_foot,median_square_feet,average_listing_price,total_listing_count
,202304,"dukes, ma",2450000,103,103,36,0,8,1140,2024,3406659,136
,202304,"bristol, ma",549000,374,31,392,12,68,307,1807,727245,485
,202304,"norfolk, ma",887000,569,25,724,12,124,429,2201,1497304,716
,202304,"franklin, ma",355000,42,69,44,0,12,214,1580,976352,51
,202304,"essex, ma",725000,433,17,680,0,100,379,2000,1160564,577
,202304,"berkshire, ma",485000,249,44,152,0,36,267,1932,932455,381
,202303,"hampshire, ma",498750,115,38,82,2,22,276,1807,537095,143
,202303,"suffolk, ma",993750,905,36,652,6,162,918,1319,1990348,1018
,202303,"hampden, ma",311050,268,32,274,0,92,206,1613,361482,351
,202303,"franklin, ma",303575,40,75,30,0,4,178,1745,980657,51
,202303,"middlesex, ma",957495,1011,20,1288,18,242,462,2177,1439371,1264
,202303,"berkshire, ma",509500,203,72,104,0,28,277,1895,1121234,337
,202303,"bristol, ma",500225,363,40,316,6,88,302,1743,707971,463
,202303,"barnstable, ma",872450,507,56,488,8,94,520,1894,1702484,1014
,202303,"nantucket, ma",4211250,69,128,14,0,6,1364,3141,6603657,74
,202303,"worcester, ma",517400,498,29,612,18,104,275,1898,583297,655
,202303,"plymouth, ma",649000,506,32,516,14,102,350,1839,833769,655
,202303,"dukes, ma",2362500,97,125,36,0,8,1136,1940,3135270,139
,202303,"essex, ma",699950,357,21,472,4,62,373,2024,1125290,472
,202303,"norfolk, ma",897000,527,25,626,12,98,427,2237,1459053,653
,202302,"plymouth, ma",649000,466,55,380,18,108,344,1826,788395,603
,202302,"middlesex, ma",939500,907,30,886,16,176,451,2146,1404493,1116
,202302,"worcester, ma",507400,512,41,458,20,102,275,1900,576996,658
,202302,"dukes, ma",2481000,105,130,28,0,2,1128,2400,3796455,146
,202302,"nantucket, ma",4272500,68,113,18,0,4,1242,3498,6666120,72
,202302,"franklin, ma",308500,50,86,30,0,20,204,1746,877104,61
,202302,"hampden, ma",297450,307,30,266,0,114,203,1534,343503,395
,202302,"suffolk, ma",951250,801,39,490,8,142,886,1325,2010576,912
,202302,"barnstable, ma",874975,505,84,418,4,90,529,1926,1590661,1034
,202302,"essex, ma",697000,361,30,380,4,82,362,1974,1053378,479
,202302,"hampshire, ma",519500,104,86,58,0,14,266,1822,541497,129
,202302,"bristol, ma",499900,372,40,306,2,100,291,1793,679959,477
,202302,"norfolk, ma",849498,485,34,472,8,110,411,2173,1391214,630
,202302,"berkshire, ma",476675,205,95,96,2,22,251,1875,1159235,336
,202301,"dukes, ma",2496250,113,133,18,0,16,1106,2434,4025680,146
,202301,"plymouth, ma",634225,517,66,318,14,106,339,1830,748106,615
,202301,"essex, ma",661175,429,42,434,2,102,359,1968,1002068,540
,202301,"berkshire, ma",470725,213,98,58,0,38,247,1908,1059000,331
,202301,"franklin, ma",323200,61,82,18,0,14,200,1801,611271,72
,202301,"nantucket, ma",4283750,67,110,16,0,8,1307,3462,6456823,69
,202301,"hampshire, ma",489900,138,72,60,0,42,246,1800,533792,158
,202301,"worcester, ma",482450,616,50,502,6,150,268,1870,553901,745
,202301,"norfolk, ma",792300,521,56,410,10,124,398,2023,1296461,623
,202301,"hampden, ma",294900,332,44,296,6,112,201,1564,349483,404
,202301,"middlesex, ma",894998,958,52,786,12,230,432,2119,1298079,1137
,202301,"suffolk, ma",897450,790,73,408,6,112,833,1273,1884418,863
,202301,"barnstable, ma",824000,535,80,228,4,100,509,1824,1478748,948
,202301,"bristol, ma",479900,407,50,284,10,136,287,1771,627026,481
,202212,"suffolk, ma",874999,935,67,192,8,128,804,1268,1750496,1018
,202212,"hampden, ma",299987,363,44,216,0,92,204,1619,361857,422
,202212,"barnstable, ma",775000,660,71,192,4,88,488,1830,1433581,1130
,202212,"plymouth, ma",625000,632,53,296,0,168,333,1885,776484,766
,202212,"nantucket, ma",4295000,81,138,8,0,0,1489,3229,6308575,86
,202212,"middlesex, ma",869000,1172,51,520,8,220,427,2049,1254539,1372
,202212,"norfolk, ma",774950,633,55,208,4,116,406,1998,1226613,743
,202212,"worcester, ma",469800,678,52,392,8,136,260,1850,551118,830
,202212,"hampshire, ma",492900,147,58,52,0,16,256,1800,551187,174
,202212,"berkshire, ma",447000,255,82,56,0,20,237,1906,963607,412
,202212,"dukes, ma",2549500,139,120,8,0,8,1166,2468,4322548,177
,202212,"bristol, ma",475000,465,45,212,0,144,284,1774,622209,564
,202212,"franklin, ma",337000,77,59,36,0,8,202,1728,406330,99
,202212,"essex, ma",675000,494,52,220,0,92,358,1986,1018096,586
,202211,"plymouth, ma",626000,799,38,472,6,320,330,1893,783298,970
,202211,"suffolk, ma",849500,1275,51,426,4,364,781,1256,1612306,1364
,202211,"franklin, ma",341250,107,45,36,0,38,201,1739,435673,122
,202211,"essex, ma",654900,687,32,532,4,270,358,1984,1041043,831
,202211,"hampshire, ma",471175,159,48,102,0,40,260,1765,539598,191
,202211,"barnstable, ma",798000,829,51,324,2,260,488,1858,1432258,1400
,202211,"berkshire, ma",447000,300,70,80,0,54,239,1882,930557,498
,202211,"dukes, ma",2500000,150,100,28,0,14,1145,2469,4200935,189
,202211,"norfolk, ma",768450,876,38,530,4,340,408,1904,1198324,1000
,202211,"bristol, ma",472500,538,38,328,4,238,279,1756,612609,666
,202211,"hampden, ma",314175,415,37,292,2,178,202,1637,369983,496
,202211,"middlesex, ma",849900,1607,38,942,10,596,437,2009,1254042,1874
,202211,"worcester, ma",462400,904,37,624,12,408,254,1879,542645,1077
,202211,"nantucket, ma",4416250,96,119,16,2,12,1486,3112,6417197,102
,202210,"middlesex, ma",819250,1769,29,1404,8,856,428,2000,1226596,2100
,202210,"worcester, ma",465000,936,32,828,12,404,254,1891,543556,1135
,202210,"bristol, ma",469900,571,32,456,4,244,277,1762,615485,703
,202210,"plymouth, ma",622450,807,32,612,4,380,335,1859,805160,996
,202210,"hampden, ma",314900,446,35,400,0,216,204,1638,371401,559
,202210,"essex, ma",689000,698,25,660,4,308,353,2034,1057732,886
,202210,"dukes, ma",2599000,147,89,32,0,20,1117,2486,4451459,192
,202210,"norfolk, ma",769900,877,32,636,4,356,406,1974,1194181,1022
,202210,"barnstable, ma",775000,860,49,456,8,308,471,1887,1408098,1490
,202210,"franklin, ma",349900,108,46,76,0,36,202,1717,455793,127
,202210,"nantucket, ma",4595000,104,99,12,0,20,1542,3273,6660237,111
,202210,"hampshire, ma",472200,173,45,112,4,60,258,1800,554576,209
,202210,"suffolk, ma",849000,1351,37,624,8,468,786,1254,1554858,1464
,202210,"berkshire, ma",449000,348,61,132,0,100,250,1843,904402,569
,202209,"middlesex, ma",801575,1706,29,1840,18,694,427,2000,1202930,1984
,202209,"worcester, ma",459900,917,31,814,16,358,254,1877,544014,1128
,202209,"suffolk, ma",827600,1271,46,900,6,352,814,1232,1529255,1379
,202209,"nantucket, ma",4273750,125,80,22,2,28,1582,3080,6336229,133
,202209,"plymouth, ma",628675,748,33,646,8,272,336,1867,811257,923
,202209,"norfolk, ma",749900,841,32,744,10,324,398,1959,1160515,1004
,202209,"hampshire, ma",459925,197,35,154,0,48,252,1800,526057,237
,202209,"berkshire, ma",439500,349,53,154,4,80,255,1805,936813,591
,202209,"bristol, ma",474475,533,33,510,6,206,280,1754,632923,677
,202209,"dukes, ma",2566250,152,82,32,0,28,1130,2481,4416587,197
,202209,"hampden, ma",315000,466,32,424,4,208,202,1628,373748,582
,202209,"franklin, ma",354700,96,44,64,2,24,202,1892,461266,118
,202209,"barnstable, ma",797000,810,53,512,8,298,466,1932,1470803,1499
,202209,"essex, ma",699675,695,26,726,6,218,359,2070,1042159,851
,202208,"plymouth, ma",629675,751,33,590,6,288,339,1909,817449,953
,202208,"middlesex, ma",799000,1608,31,1200,16,548,416,2001,1172094,1938
,202208,"norfolk, ma",747498,780,33,630,10,268,392,1989,1189816,943
,202208,"berkshire, ma",458225,336,49,138,2,96,252,1905,927374,607
,202208,"essex, ma",699948,715,26,732,6,242,361,2028,1038494,907
,202208,"franklin, ma",359225,90,46,66,0,30,205,1821,464495,112
,202208,"barnstable, ma",799900,783,47,456,6,260,472,1975,1489693,1508
,202208,"dukes, ma",2595000,158,67,44,0,30,1126,2447,4342632,203
,202208,"hampden, ma",299900,480,28,464,4,208,201,1635,365999,636
,202208,"hampshire, ma",452225,197,46,148,2,56,254,1797,522692,238
,202208,"nantucket, ma",4250000,137,62,22,0,40,1600,2833,6328973,145
,202208,"suffolk, ma",799000,1210,50,474,8,306,796,1200,1418840,1324
,202208,"bristol, ma",461200,553,31,500,8,220,282,1715,600513,715
,202208,"worcester, ma",469675,967,30,940,10,366,254,1912,548556,1223
,202207,"franklin, ma",339900,92,30,56,0,28,209,1717,442647,114
,202207,"suffolk, ma",821750,1389,39,656,8,376,822,1198,1393302,1513
,202207,"barnstable, ma",825000,755,38,512,12,200,479,1920,1467633,1473
,202207,"dukes, ma",2750000,144,60,40,0,36,1127,2486,4528686,189
,202207,"middlesex, ma",799000,1711,24,1688,16,656,414,2044,1170378,2054
,202207,"norfolk, ma",754950,819,24,688,8,292,394,2000,1199958,987
,202207,"worcester, ma",470000,1004,22,1048,12,368,254,1904,546270,1248
,202207,"nantucket, ma",4295000,133,49,48,0,32,1679,3137,6800565,141
,202207,"essex, ma",699995,761,23,812,0,276,363,2051,1030149,976
,202207,"bristol, ma",485450,538,25,488,4,224,282,1764,605338,710
,202207,"hampshire, ma",475000,189,34,156,0,40,250,1813,532975,236
,202207,"plymouth, ma",639000,777,24,696,8,320,339,1939,862122,976
,202207,"hampden, ma",299900,485,23,532,4,196,198,1658,368657,611
,202207,"berkshire, ma",449450,350,38,204,0,76,251,1844,877778,607
,202206,"hampshire, ma",483500,166,23,230,0,46,248,1854,537088,216
,202206,"worcester, ma",472400,824,16,1330,14,298,253,1898,552135,1090
,202206,"essex, ma",699950,673,13,1084,6,228,359,2053,1042788,895
,202206,"barnstable, ma",848500,644,32,612,10,228,503,1884,1514105,1396
,202206,"hampden, ma",322500,410,18,550,4,158,198,1735,386393,540
,202206,"nantucket, ma",4497250,104,57,58,0,14,1784,2932,6665055,117
,202206,"norfolk, ma",789491,778,17,1160,12,306,400,2043,1232426,996
,202206,"suffolk, ma",839725,1406,31,976,4,532,850,1209,1492063,1571
,202206,"dukes, ma",2986250,133,57,40,0,20,1157,2549,4545206,162
,202206,"middlesex, ma",809250,1674,14,2564,28,688,422,2049,1190983,2060
,202206,"bristol, ma",491175,474,17,660,2,214,287,1770,593708,653
,202206,"franklin, ma",326225,73,16,100,0,18,213,1645,454061,90
,202206,"plymouth, ma",644450,609,17,850,4,228,338,1918,862109,825
,202206,"berkshire, ma",461250,281,34,202,0,62,261,1897,915448,515
,202205,"essex, ma",722496,486,10,940,4,154,359,2140,1091431,721
,202205,"nantucket, ma",4495000,88,46,38,0,20,1686,2891,6532050,97
,202205,"berkshire, ma",447225,244,35,202,4,48,250,1899,881658,475
,202205,"plymouth, ma",624950,483,13,774,4,154,345,1892,832595,692
,202205,"franklin, ma",367225,51,19,70,0,14,222,1556,448131,68
,202205,"dukes, ma",2968750,113,62,46,0,12,1138,2458,4412902,147
,202205,"worcester, ma",494975,651,13,1132,16,196,264,1927,567149,911
,202205,"hampden, ma",307500,324,12,568,4,108,198,1694,374565,451
,202205,"norfolk, ma",812498,631,12,1100,24,160,404,2047,1347540,868
,202205,"suffolk, ma",874950,1214,28,1090,10,338,917,1218,1608657,1424
,202205,"hampshire, ma",477425,127,24,176,0,22,250,1813,548656,186
,202205,"middlesex, ma",805000,1218,10,2246,20,370,425,2054,1237754,1637
,202205,"bristol, ma",477500,381,17,526,4,136,288,1738,571600,558
,202205,"barnstable, ma",854500,527,31,564,10,116,511,1869,1614580,1248
,202204,"middlesex, ma",800000,996,10,2436,32,180,429,1918,1242112,1297
,202204,"essex, ma",649900,397,6,1000,4,80,357,2000,1018076,589
,202204,"norfolk, ma",799000,530,11,1220,20,76,427,1847,1373392,722
,202204,"barnstable, ma",799948,414,36,552,20,68,499,1788,1674882,1126
,202204,"franklin, ma",352495,42,27,76,0,4,204,1684,419924,62
,202204,"berkshire, ma",425000,199,40,152,4,32,221,1842,998477,416
,202204,"hampden, ma",314679,241,14,576,4,68,199,1707,382070,369
,202204,"nantucket, ma",4445000,65,32,40,0,4,1689,2685,6274911,73
,202204,"hampshire, ma",437450,105,19,196,0,16,249,1759,553624,155
,202204,"dukes, ma",2962500,93,72,24,0,8,1120,2451,4024178,135
,202204,"plymouth, ma",582500,366,16,760,8,92,346,1800,821528,550
,202204,"worcester, ma",469900,502,10,1252,24,92,265,1876,561373,721
,202204,"suffolk, ma",878250,1045,26,1132,12,240,911,1217,1622896,1276
,202204,"bristol, ma",489900,325,17,592,8,76,285,1757,611879,490
,202203,"berkshire, ma",449900,195,64,120,4,24,230,1882,1011135,380
,202203,"dukes, ma",2880375,83,117,34,0,10,1112,2420,3990342,125
,202203,"franklin, ma",359945,39,27,70,0,4,218,1496,422737,57
,202203,"suffolk, ma",879450,893,31,1138,22,150,903,1204,1638276,1131
,202203,"middlesex, ma",806646,803,10,2026,28,130,440,1916,1295109,1174
,202203,"hampshire, ma",423425,87,20,224,0,18,242,1716,539518,129
,202203,"plymouth, ma",573500,307,20,766,14,56,337,1786,778817,494
,202203,"worcester, ma",457500,411,13,1136,16,64,257,1818,539667,628
,202203,"barnstable, ma",849675,370,45,460,10,48,507,1884,1726101,1008
,202203,"nantucket, ma",4547500,48,105,10,0,0,1596,3018,6275580,56
,202203,"essex, ma",647475,311,10,950,6,34,361,1943,971681,485
,202203,"bristol, ma",479900,278,23,602,12,56,286,1776,619945,434
,202203,"hampden, ma",287175,221,22,638,6,46,192,1607,358158,366
,202203,"norfolk, ma",794450,411,15,1050,18,62,429,1900,1359737,583
,202202,"nantucket, ma",4486250,47,116,16,0,0,1548,2915,6431929,55
,202202,"plymouth, ma",591925,290,32,394,16,46,331,1784,784242,433
,202202,"franklin, ma",371175,44,45,38,0,2,232,1550,444645,53
,202202,"barnstable, ma",849500,360,71,338,8,52,497,1894,1735270,949
,202202,"middlesex, ma",814473,634,17,1162,30,86,441,1841,1267106,865
,202202,"norfolk, ma",765725,363,21,596,16,48,432,1871,1217711,507
,202202,"dukes, ma",3196250,83,113,24,0,4,1150,2691,4526055,123
,202202,"berkshire, ma",439225,201,95,88,2,20,241,1865,977742,383
,202202,"bristol, ma",499225,284,30,398,16,60,288,1784,622167,407
,202202,"suffolk, ma",875750,782,33,724,6,108,897,1213,1653047,949
,202202,"worcester, ma",450000,402,25,624,28,58,258,1813,527232,537
,202202,"hampshire, ma",429975,81,30,94,0,14,237,1756,555401,113
